;ID_Estado;Estado;Region_Tipo;PIB;Año;Paro_Pct;Natalidad;AfD;CDU_CSU;FDP;LINKE;SPD;VERDES
70;3;Baviera;Oeste;288542;1993;322667;1338970;0,0;51,9;8,7;0,2;26,7;4,6
71;3;Baviera;Oeste;298865;1994;360862;1278280;0,0;51,2;6,4;0,5;29,6;6,3
72;3;Baviera;Oeste;306896;1995;355881;1259950;0,0;51,2;6,4;0,5;29,6;6,3
73;3;Baviera;Oeste;312550;1996;401991;1293760;0,0;51,2;6,4;0,5;29,6;6,3
74;3;Baviera;Oeste;319670;1997;442283;1305170;0,0;51,2;6,4;0,5;29,6;6,3
75;3;Baviera;Oeste;333843;1998;415430;1265290;0,0;47,7;5,1;0,7;34,4;5,9
76;3;Baviera;Oeste;345892;1999;384587;1232440;0,0;47,7;5,1;0,7;34,4;5,9
77;3;Baviera;Oeste;359884;2000;339537;1207650;0,0;47,7;5,1;0,7;34,4;5,9
78;3;Baviera;Oeste;374123;2001;332569;1159640;0,0;47,7;5,1;0,7;34,4;5,9
79;3;Baviera;Oeste;383227;2002;386696;1138180;0,0;58,6;4,5;0,7;26,1;7,6
80;3;Baviera;Oeste;381725;2003;447262;1115360;0,0;58,6;4,5;0,7;26,1;7,6
81;3;Baviera;Oeste;394706;2004;449680;1111640;0,0;58,6;4,5;0,7;26,1;7,6
82;3;Baviera;Oeste;401696;2005;504980;1073080;0,0;49,2;9,5;3,4;25,5;7,9
83;3;Baviera;Oeste;419390;2006;446461;1048220;0,0;49,2;9,5;3,4;25,5;7,9
84;3;Baviera;Oeste;439362;2007;349826;1068700;0,0;49,2;9,5;3,4;25,5;7,9
85;3;Baviera;Oeste;442744;2008;276332;1062980;0,0;49,2;9,5;3,4;25,5;7,9
86;3;Baviera;Oeste;434878;2009;319197;1037100;0,0;42,5;14,7;6,5;16,8;10,8
87;3;Baviera;Oeste;459319;2010;299448;1052510;0,0;42,5;14,7;6,5;16,8;10,8
88;3;Baviera;Oeste;490973;2011;254359;1036680;0,0;42,5;14,7;6,5;16,8;10,8
89;3;Baviera;Oeste;504021;2012;248860;1070390;0,0;42,5;14,7;6,5;16,8;10,8
90;3;Baviera;Oeste;519911;2013;264532;1095620;4,3;49,3;5,1;3,8;20,0;8,4
91;3;Baviera;Oeste;541739;2014;264603;1139350;4,3;49,3;5,1;3,8;20,0;8,4
92;3;Baviera;Oeste;564087;2015;256527;1182280;4,3;49,3;5,1;3,8;20,0;8,4
93;3;Baviera;Oeste;586881;2016;250623;1256860;4,3;49,3;5,1;3,8;20,0;8,4
94;3;Baviera;Oeste;614257;2017;231353;1261870;12,4;38,8;10,2;6,1;15,3;9,8
95;3;Baviera;Oeste;629022;2018;214017;1276160;12,4;38,8;10,2;6,1;15,3;9,8
96;3;Baviera;Oeste;651194;2019;211965;1282270;12,4;38,8;10,2;6,1;15,3;9,8
97;3;Baviera;Oeste;634843;2020;275075;1287640;12,4;38,8;10,2;6,1;15,3;9,8
98;3;Baviera;Oeste;675004;2021;262186;1343210;9,0;31,7;10,5;2,8;18,0;14,1
99;3;Baviera;Oeste;723639;2022;235851;1248970;9,0;31,7;10,5;2,8;18,0;14,1
100;3;Baviera;Oeste;773647;2023;257096;1165050;9,0;31,7;10,5;2,8;18,0;14,1
101;3;Baviera;Oeste;791603;2024;285234;1143650;9,0;31,7;10,5;2,8;18,0;14,1
102;4;Berlin;Berlin;68403;1991;179953;305620;0,0;39,4;9,1;9,7;30,6;7,2
103;4;Berlin;Berlin;75606;1992;207058;296670;0,0;39,4;9,1;9,7;30,6;7,2
104;4;Berlin;Berlin;81066;1993;203924;287240;0,0;39,4;9,1;9,7;30,6;7,2
105;4;Berlin;Berlin;83845;1994;210130;285030;0,0;31,4;5,2;14,8;34,0;10,2
106;4;Berlin;Berlin;86026;1995;213383;286480;0,0;31,4;5,2;14,8;34,0;10,2
107;4;Berlin;Berlin;85339;1996;235999;299050;0,0;31,4;5,2;14,8;34,0;10,2
108;4;Berlin;Berlin;83943;1997;265665;303690;0,0;31,4;5,2;14,8;34,0;10,2
109;4;Berlin;Berlin;84476;1998;273118;296120;0,0;23,7;4,9;13,4;37,8;11,3
110;4;Berlin;Berlin;85367;1999;268174;298560;0,0;23,7;4,9;13,4;37,8;11,3
111;4;Berlin;Berlin;86219;2000;264819;296950;0,0;23,7;4,9;13,4;37,8;11,3
112;4;Berlin;Berlin;87158;2001;272330;286240;0,0;23,7;4,9;13,4;37,8;11,3
113;4;Berlin;Berlin;87119;2002;288285;288010;0,0;25,9;6,6;11,4;36,6;14,6
114;4;Berlin;Berlin;86561;2003;306556;287230;0,0;25,9;6,6;11,4;36,6;14,6
115;4;Berlin;Berlin;86655;2004;298661;294460;0,0;25,9;6,6;11,4;36,6;14,6
116;4;Berlin;Berlin;88788;2005;319178;289760;0,0;22,0;8,2;16,4;34,3;13,7
117;4;Berlin;Berlin;92450;2006;293476;296270;0,0;22,0;8,2;16,4;34,3;13,7
118;4;Berlin;Berlin;96520;2007;260235;311740;0,0;22,0;8,2;16,4;34,3;13,7
119;4;Berlin;Berlin;100962;2008;233323;319360;0,0;22,0;8,2;16,4;34,3;13,7
120;4;Berlin;Berlin;101392;2009;236669;321040;0,0;22,8;11,5;20,2;20,2;17,4
121;4;Berlin;Berlin;105228;2010;231221;333930;0,0;22,8;11,5;20,2;20,2;17,4
122;4;Berlin;Berlin;110626;2011;228838;330750;0,0;22,8;11,5;20,2;20,2;17,4
123;4;Berlin;Berlin;112398;2012;215348;346780;0,0;22,8;11,5;20,2;20,2;17,4
124;4;Berlin;Berlin;116107;2013;210093;350380;4,9;28,5;3,6;18,5;24,6;12,3
125;4;Berlin;Berlin;122279;2014;202927;373680;4,9;28,5;3,6;18,5;24,6;12,3
126;4;Berlin;Berlin;129267;2015;194812;380300;4,9;28,5;3,6;18,5;24,6;12,3
127;4;Berlin;Berlin;136366;2016;181018;410860;4,9;28,5;3,6;18,5;24,6;12,3
128;4;Berlin;Berlin;144070;2017;168991;401600;12,0;22,7;8,9;18,8;17,9;12,6
129;4;Berlin;Berlin;152030;2018;156230;402030;12,0;22,7;8,9;18,8;17,9;12,6
130;4;Berlin;Berlin;159591;2019;152565;395030;12,0;22,7;8,9;18,8;17,9;12,6
131;4;Berlin;Berlin;159011;2020;192644;386930;12,0;22,7;8,9;18,8;17,9;12,6
132;4;Berlin;Berlin;171190;2021;198401;391680;9,4;17,2;8,1;11,5;22,2;22,0
133;4;Berlin;Berlin;184512;2022;179327;357290;9,4;17,2;8,1;11,5;22,2;22,0
134;4;Berlin;Berlin;197924;2023;187930;341200;9,4;17,2;8,1;11,5;22,2;22,0
135;4;Berlin;Berlin;207058;2024;203242;337490;9,4;17,2;8,1;11,5;22,2;22,0
136;5;Brandeburgo;Este;19850;1991;141172;172150;0,0;36,3;9,7;11,0;32,9;6,6
137;5;Brandeburgo;Este;24767;1992;182342;134690;0,0;36,3;9,7;11,0;32,9;6,6
138;5;Brandeburgo;Este;30101;1993;180418;122380;0,0;36,3;9,7;11,0;32,9;6,6
139;5;Brandeburgo;Este;34711;1994;178842;124430;0,0;28,1;2,6;19,3;45,1;2,9
140;5;Brandeburgo;Este;38091;1995;164608;134940;0,0;28,1;2,6;19,3;45,1;2,9
141;5;Brandeburgo;Este;39971;1996;187051;151400;0,0;28,1;2,6;19,3;45,1;2,9
142;5;Brandeburgo;Este;40688;1997;218148;163700;0,0;28,1;2,6;19,3;45,1;2,9
143;5;Brandeburgo;Este;41812;1998;220444;171460;0,0;20,8;2,8;20,3;43,5;3,6
144;5;Brandeburgo;Este;43954;1999;223102;179280;0,0;20,8;2,8;20,3;43,5;3,6
145;5;Brandeburgo;Este;45244;2000;226451;184440;0,0;20,8;2,8;20,3;43,5;3,6
146;5;Brandeburgo;Este;46414;2001;233650;176920;0,0;20,8;2,8;20,3;43,5;3,6
147;5;Brandeburgo;Este;46988;2002;237903;177040;0,0;22,3;5,8;17,2;46,4;4,5
148;5;Brandeburgo;Este;47493;2003;252967;179700;0,0;22,3;5,8;17,2;46,4;4,5
149;5;Brandeburgo;Este;48749;2004;250709;181480;0,0;22,3;5,8;17,2;46,4;4,5
150;5;Brandeburgo;Este;49634;2005;243879;179100;0,0;20,6;6,9;26,6;35,8;5,1
151;5;Brandeburgo;Este;52072;2006;226468;178830;0,0;20,6;6,9;26,6;35,8;5,1
152;5;Brandeburgo;Este;54159;2007;198161;185890;0,0;20,6;6,9;26,6;35,8;5,1
153;5;Brandeburgo;Este;55980;2008;174587;188080;0,0;20,6;6,9;26,6;35,8;5,1
154;5;Brandeburgo;Este;54792;2009;164673;185370;0,0;23,6;9,3;28,5;25,1;6,1
155;5;Brandeburgo;Este;57373;2010;148834;189540;0,0;23,6;9,3;28,5;25,1;6,1
156;5;Brandeburgo;Este;59366;2011;143190;182790;0,0;23,6;9,3;28,5;25,1;6,1
157;5;Brandeburgo;Este;61035;2012;136125;184820;0,0;23,6;9,3;28,5;25,1;6,1
158;5;Brandeburgo;Este;62333;2013;132329;183550;6,0;34,8;2,5;22,4;23,1;4,7
159;5;Brandeburgo;Este;65655;2014;124628;193390;6,0;34,8;2,5;22,4;23,1;4,7
160;5;Brandeburgo;Este;66755;2015;114873;191120;6,0;34,8;2,5;22,4;23,1;4,7
161;5;Brandeburgo;Este;68644;2016;105555;209340;6,0;34,8;2,5;22,4;23,1;4,7
162;5;Brandeburgo;Este;72111;2017;92648;203370;20,2;26,7;7,1;17,2;17,6;5,0
163;5;Brandeburgo;Este;73970;2018;83669;198810;20,2;26,7;7,1;17,2;17,6;5,0
164;5;Brandeburgo;Este;77181;2019;76888;193290;20,2;26,7;7,1;17,2;17,6;5,0
165;5;Brandeburgo;Este;76206;2020;82491;189980;20,2;26,7;7,1;17,2;17,6;5,0
166;5;Brandeburgo;Este;81192;2021;78463;190290;18,1;15,3;9,3;8,5;29,5;9,0
167;5;Brandeburgo;Este;89534;2022;74242;174390;18,1;15,3;9,3;8,5;29,5;9,0
168;5;Brandeburgo;Este;96433;2023;78996;158850;18,1;15,3;9,3;8,5;29,5;9,0
169;5;Brandeburgo;Este;97540;2024;82795;151540;18,1;15,3;9,3;8,5;29,5;9,0
170;6;Bremen;Oeste;18991;1991;31629;678900;0,0;30,9;12,8;1,1;42,5;8,3
171;6;Bremen;Oeste;19563;1992;31532;675700;0,0;30,9;12,8;1,1;42,5;8,3
172;6;Bremen;Oeste;19470;1993;36638;665600;0,0;30,9;12,8;1,1;42,5;8,3
173;6;Bremen;Oeste;19955;1994;40155;628800;0,0;30,2;7,2;2,7;45,5;11,1
174;6;Bremen;Oeste;20298;1995;40343;642900;0,0;30,2;7,2;2,7;45,5;11,1
175;6;Bremen;Oeste;20352;1996;44374;662300;0,0;30,2;7,2;2,7;45,5;11,1
176;6;Bremen;Oeste;21122;1997;46951;664400;0,0;30,2;7,2;2,7;45,5;11,1
177;6;Bremen;Oeste;21396;1998;46328;636000;0,0;25,4;5,9;2,4;50,2;11,3
178;6;Bremen;Oeste;21592;1999;43867;609600;0,0;25,4;5,9;2,4;50,2;11,3
179;6;Bremen;Oeste;22538;2000;41144;607000;0,0;25,4;5,9;2,4;50,2;11,3
180;6;Bremen;Oeste;23312;2001;39820;583100;0,0;25,4;5,9;2,4;50,2;11,3
181;6;Bremen;Oeste;23910;2002;40452;548400;0,0;24,6;6,7;2,2;48,6;15,0
182;6;Bremen;Oeste;24545;2003;42378;557700;0,0;24,6;6,7;2,2;48,6;15,0
183;6;Bremen;Oeste;24779;2004;42280;544200;0,0;24,6;6,7;2,2;48,6;15,0
184;6;Bremen;Oeste;25341;2005;53223;548900;0,0;22,8;8,1;8,4;42,9;14,3
185;6;Bremen;Oeste;26577;2006;47719;550600;0,0;22,8;8,1;8,4;42,9;14,3
186;6;Bremen;Oeste;27511;2007;41006;559100;0,0;22,8;8,1;8,4;42,9;14,3
187;6;Bremen;Oeste;27897;2008;36730;556900;0,0;22,8;8,1;8,4;42,9;14,3
188;6;Bremen;Oeste;25484;2009;38156;548100;0,0;23,9;10,6;14,3;30,2;15,4
189;6;Bremen;Oeste;26970;2010;38705;559900;0,0;23,9;10,6;14,3;30,2;15,4
190;6;Bremen;Oeste;27848;2011;37455;538800;0,0;23,9;10,6;14,3;30,2;15,4
191;6;Bremen;Oeste;29088;2012;36828;563900;0,0;23,9;10,6;14,3;30,2;15,4
192;6;Bremen;Oeste;29510;2013;37198;574900;3,7;29,3;3,4;10,1;35,6;12,1
193;6;Bremen;Oeste;30482;2014;37091;621100;3,7;29,3;3,4;10,1;35,6;12,1
194;6;Bremen;Oeste;31081;2015;37355;650900;3,7;29,3;3,4;10,1;35,6;12,1
195;6;Bremen;Oeste;31910;2016;36393;713600;3,7;29,3;3,4;10,1;35,6;12,1
196;6;Bremen;Oeste;32788;2017;35687;700000;10,0;25,1;9,3;13,4;26,8;11,1
197;6;Bremen;Oeste;33389;2018;34904;716300;10,0;25,1;9,3;13,4;26,8;11,1
198;6;Bremen;Oeste;33433;2019;35702;714900;10,0;25,1;9,3;13,4;26,8;11,1
199;6;Bremen;Oeste;32442;2020;40822;696800;10,0;25,1;9,3;13,4;26,8;11,1
200;6;Bremen;Oeste;35483;2021;39292;697100;6,9;17,2;9,3;7,7;31,5;20,9
201;6;Bremen;Oeste;38820;2022;37214;672000;6,9;17,2;9,3;7,7;31,5;20,9
202;6;Bremen;Oeste;40338;2023;39050;661500;6,9;17,2;9,3;7,7;31,5;20,9
203;6;Bremen;Oeste;41357;2024;41116;625100;6,9;17,2;9,3;7,7;31,5;20,9
204;7;Hamburgo;Oeste;61137;1991;63013;165030;0,0;36,6;12,0;1,1;41,0;5,8
205;7;Hamburgo;Oeste;63737;1992;57441;164970;0,0;36,6;12,0;1,1;41,0;5,8
206;7;Hamburgo;Oeste;65919;1993;62929;162570;0,0;36,6;12,0;1,1;41,0;5,8
207;7;Hamburgo;Oeste;67741;1994;71204;162010;0,0;34,9;7,2;2,2;39,7;12,6
208;7;Hamburgo;Oeste;69210;1995;77773;158720;0,0;34,9;7,2;2,2;39,7;12,6
209;7;Hamburgo;Oeste;70759;1996;83942;165940;0,0;34,9;7,2;2,2;39,7;12,6
210;7;Hamburgo;Oeste;73470;1997;92520;169700;0,0;34,9;7,2;2,2;39,7;12,6
211;7;Hamburgo;Oeste;75528;1998;90516;162350;0,0;30,0;6,5;2,3;45,7;10,8
212;7;Hamburgo;Oeste;76578;1999;84082;160340;0,0;30,0;6,5;2,3;45,7;10,8
213;7;Hamburgo;Oeste;78473;2000;74681;161590;0,0;30,0;6,5;2,3;45,7;10,8
214;7;Hamburgo;Oeste;83187;2001;70669;157860;0,0;30,0;6,5;2,3;45,7;10,8
215;7;Hamburgo;Oeste;84403;2002;77502;157070;0,0;28,1;6,8;2,1;42,0;16,2
216;7;Hamburgo;Oeste;84993;2003;86376;159160;0,0;28,1;6,8;2,1;42,0;16,2
217;7;Hamburgo;Oeste;87232;2004;84258;161030;0,0;28,1;6,8;2,1;42,0;16,2
218;7;Hamburgo;Oeste;89389;2005;98228;161790;0,0;28,9;9,0;6,3;38,7;14,9
219;7;Hamburgo;Oeste;90513;2006;96028;160890;0,0;28,9;9,0;6,3;38,7;14,9
220;7;Hamburgo;Oeste;93777;2007;81056;167270;0,0;28,9;9,0;6,3;38,7;14,9
221;7;Hamburgo;Oeste;97069;2008;72847;167510;0,0;28,9;9,0;6,3;38,7;14,9
222;7;Hamburgo;Oeste;94184;2009;78448;167790;0,0;27,8;13,2;11,2;27,4;15,6
223;7;Hamburgo;Oeste;97155;2010;75486;173770;0,0;27,8;13,2;11,2;27,4;15,6
224;7;Hamburgo;Oeste;98811;2011;72448;171250;0,0;27,8;13,2;11,2;27,4;15,6
225;7;Hamburgo;Oeste;101407;2012;70434;177060;0,0;27,8;13,2;11,2;27,4;15,6
226;7;Hamburgo;Oeste;105985;2013;71560;181370;4,2;32,1;4,8;8,8;32,4;12,7
227;7;Hamburgo;Oeste;108259;2014;73663;190390;4,2;32,1;4,8;8,8;32,4;12,7
228;7;Hamburgo;Oeste;112880;2015;73291;197680;4,2;32,1;4,8;8,8;32,4;12,7
229;7;Hamburgo;Oeste;115167;2016;70666;214800;4,2;32,1;4,8;8,8;32,4;12,7
230;7;Hamburgo;Oeste;121447;2017;69248;211330;7,8;27,2;10,8;12,2;23,5;13,9
231;7;Hamburgo;Oeste;124313;2018;65589;211260;7,8;27,2;10,8;12,2;23,5;13,9
232;7;Hamburgo;Oeste;129913;2019;64774;209400;7,8;27,2;10,8;12,2;23,5;13,9
233;7;Hamburgo;Oeste;124166;2020;80677;204310;7,8;27,2;10,8;12,2;23,5;13,9
234;7;Hamburgo;Oeste;137640;2021;80395;210180;5,0;15,4;11,4;6,7;29,7;24,9
235;7;Hamburgo;Oeste;155671;2022;73800;190540;5,0;15,4;11,4;6,7;29,7;24,9
236;7;Hamburgo;Oeste;153737;2023;80806;182640;5,0;15,4;11,4;6,7;29,7;24,9
237;7;Hamburgo;Oeste;161856;2024;88471;175530;5,0;15,4;11,4;6,7;29,7;24,9
238;8;Hesse;Oeste;150385;1991;123264;613240;0,0;41,3;10,9;0,4;38,0;5,6
239;8;Hesse;Oeste;159369;1992;136825;611460;0,0;41,3;10,9;0,4;38,0;5,6
240;8;Hesse;Oeste;161858;1993;177061;616100;0,0;41,3;10,9;0,4;38,0;5,6
241;8;Hesse;Oeste;166412;1994;208675;605650;0,0;40,7;8,1;1,1;37,2;9,3
242;8;Hesse;Oeste;170701;1995;213222;598580;0,0;40,7;8,1;1,1;37,2;9,3
243;8;Hesse;Oeste;175094;1996;234083;623910;0,0;40,7;8,1;1,1;37,2;9,3
244;8;Hesse;Oeste;178574;1997;260796;631240;0,0;40,7;8,1;1,1;37,2;9,3
245;8;Hesse;Oeste;182687;1998;254123;605670;0,0;34,7;7,9;1,5;41,6;8,2
246;8;Hesse;Oeste;190671;1999;239316;589960;0,0;34,7;7,9;1,5;41,6;8,2
247;8;Hesse;Oeste;195455;2000;214928;588170;0,0;34,7;7,9;1,5;41,6;8,2
248;8;Hesse;Oeste;202688;2001;200588;562280;0,0;34,7;7,9;1,5;41,6;8,2
249;8;Hesse;Oeste;203868;2002;213667;553240;0,0;37,1;8,2;1,3;39,7;10,7
250;8;Hesse;Oeste;209644;2003;242043;544000;0,0;37,1;8,2;1,3;39,7;10,7
251;8;Hesse;Oeste;212872;2004;250923;543320;0,0;37,1;8,2;1,3;39,7;10,7
252;8;Hesse;Oeste;214820;2005;296731;533690;0,0;33,7;11,7;5,3;35,6;10,1
253;8;Hesse;Oeste;222383;2006;284201;514040;0,0;33,7;11,7;5,3;35,6;10,1
254;8;Hesse;Oeste;231093;2007;234298;526160;0,0;33,7;11,7;5,3;35,6;10,1
255;8;Hesse;Oeste;234241;2008;203355;517520;0,0;33,7;11,7;5,3;35,6;10,1
256;8;Hesse;Oeste;224965;2009;210015;507440;0,0;32,2;16,6;8,5;25,6;12,0
257;8;Hesse;Oeste;232364;2010;197982;517420;0,0;32,2;16,6;8,5;25,6;12,0
258;8;Hesse;Oeste;243527;2011;182583;514790;0,0;32,2;16,6;8,5;25,6;12,0
259;8;Hesse;Oeste;244407;2012;178329;516070;0,0;32,2;16,6;8,5;25,6;12,0
260;8;Hesse;Oeste;250549;2013;185612;521850;5,6;39,2;5,6;6,0;28,8;9,9
261;8;Hesse;Oeste;261260;2014;184378;546310;5,6;39,2;5,6;6,0;28,8;9,9
262;8;Hesse;Oeste;268527;2015;177944;568890;5,6;39,2;5,6;6,0;28,8;9,9
263;8;Hesse;Oeste;279760;2016;172826;607310;5,6;39,2;5,6;6,0;28,8;9,9
264;8;Hesse;Oeste;288020;2017;166287;609880;11,9;30,9;11,5;8,1;23,5;9,7
